B1,B2,B3,Cloud_Cover,Cloud_Cover_Land,Image_ID,Image_Quality_OLI,Image_Quality_TIRS,MNDWI,NDBI,NDVI,QA_PIXEL,Timestamp,.geo
11212,10048,9223,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.1469268834111825,-0.2482570475901788,0.4509707198477855,21824,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
11641,10463,9709,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.16875,-0.2614494008169448,0.4621848739495798,21824,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
11141,10242,9640,67.47,67.47,LC09_230062_20230206,9.0,9.0,0.2857619206402134,-0.1299756295694557,-0.1882112634957689,21952,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
11041,9748,8613,67.47,67.47,LC09_230062_20230206,9.0,9.0,0.1191528066528066,-0.1222322931503301,0.0597297792993825,21824,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
13932,12973,12157,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.1008801124177205,-0.1946000054108162,0.3267630179381629,24082,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
13103,12541,12728,67.47,67.47,LC09_230062_20230206,9.0,9.0,0.30623973727422,-0.2382669446165981,-0.1090481595589427,23826,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
12957,11599,10782,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.13163935086377,-0.2744313340734812,0.4580256395108407,24082,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
10649,9549,8543,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.0025103625430556,-0.2211185195264662,0.2889357016325944,23826,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
12637,11670,10211,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.0289110794103661,-0.0741517264986521,0.1315753887762001,24082,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
10620,9511,8248,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.0420441347270615,-0.2535463205624194,0.349303720951059,23888,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10988,9972,9441,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.112020316027088,-0.2388463271744028,0.4060353646061669,21762,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10217,9065,8342,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.1724616834482416,-0.2025773369766892,0.4334888209747466,21824,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
11608,10637,10585,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.1196040921566996,-0.2502297602138859,0.4233354470513633,22018,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
11362,10644,10541,43.66,43.66,LC09_230062_20230222,9.0,9.0,0.272837046428787,-0.1905369984541972,-0.1088192383156411,21952,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
9800,8675,7789,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.0583328295955993,-0.2085706536479522,0.3359984009594243,23888,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
11584,10334,10446,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.092677842438982,-0.1874959633146031,0.335657985543569,23826,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10595,9479,8746,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.1703661544298994,-0.2090518622988653,0.4278143689908396,21824,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10158,9098,8633,43.66,43.66,LC09_230062_20230222,9.0,9.0,0.0026130886708088,-0.1896584261181355,0.2736640064652995,21824,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10720,9638,9043,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.184507169266841,-0.2209140247338296,0.450701247445204,23888,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10212,9041,8417,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.1909453549286298,-0.2542658521171266,0.4914295938450528,21824,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
15319,14624,14371,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.1204480078340167,-0.1507433952636095,0.2943724073156096,22080,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10231,9274,9178,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.0996664704728271,-0.2310594368419247,0.3792652935751613,21824,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10878,10094,9661,43.66,43.66,LC09_230062_20230222,9.0,9.0,0.271602500822639,-0.1068431245965138,-0.1479157607007517,21952,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
11599,11067,11378,43.66,43.66,LC09_230062_20230222,9.0,9.0,0.3414289082763499,-0.2160550136832503,-0.1758215627526513,23826,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10653,9577,9039,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.1903439627373701,-0.2108201199596175,0.4483909923989486,21824,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10441,9266,8590,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.1303467476588205,-0.2680608365019011,0.4533228145309741,21824,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10369,9317,9265,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.1749777382012466,-0.3038776048536006,0.5321430785444176,21824,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10551,9523,9053,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.2677639826909855,-0.1046242609465596,0.4155411588155631,23888,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
11097,9989,9539,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.0574576354923175,-0.1776232374073078,0.2884106099457733,23826,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
11088,10329,10051,43.66,43.66,LC09_230062_20230222,9.0,9.0,0.2297809861739875,-0.153214958299704,-0.0935715796151406,23888,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10392,9280,8942,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.2185615660228961,-0.2654093351596249,0.5323275174635578,21824,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10456,9277,8480,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.0690014821320744,-0.2217559844942652,0.3513083451202263,23888,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10459,9287,8365,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.0621145868370893,-0.2417353718082126,0.3602525318953045,23826,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
13150,12593,12769,43.66,43.66,LC09_230062_20230222,9.0,9.0,0.1834654061819361,-0.1572603788023722,-0.0539198435972629,21762,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
11485,10803,10862,43.66,43.66,LC09_230062_20230222,9.0,9.0,0.1677686394667526,-0.1224848381794479,-0.0638619711652091,23826,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
12114,11547,11924,43.66,43.66,LC09_230062_20230222,9.0,9.0,0.1957480946650621,-0.190920554854981,-0.0361691704768125,21762,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
12832,12314,12564,43.66,43.66,LC09_230062_20230222,9.0,9.0,0.1405746448186646,-0.1553731543025382,-0.010997403390866,21762,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10272,9183,8650,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.0453065504111252,-0.1971007121057985,0.3056261846424113,23888,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10071,8959,7937,43.66,43.66,LC09_230062_20230222,9.0,9.0,0.1072051335704819,-0.1472351765489673,0.1068972166870219,21824,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
11421,10807,11004,43.66,43.66,LC09_230062_20230222,9.0,9.0,0.2942075860041164,-0.1831484380317158,-0.1498435054773083,23888,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
12072,11557,12050,43.66,43.66,LC09_230062_20230222,9.0,9.0,0.1914178366620526,-0.1682684973302822,-0.0577861624902596,21762,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
11089,10157,9688,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.1566852367688022,-0.2391422600131695,0.447122939583403,22018,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10550,9442,8913,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.1725002321047256,-0.2583392060136246,0.478743961352657,21824,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
11352,10170,9665,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.1229582577132486,-0.2155557668536654,0.387654678341414,24144,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10001,8911,7521,43.66,43.66,LC09_230062_20230222,9.0,9.0,0.177824759220108,-0.0648379052369077,-0.0671764063353358,21952,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
11776,11202,11555,43.66,43.66,LC09_230062_20230222,9.0,9.0,0.1629428341384863,-0.1786490223187833,-0.0059551076500229,23888,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
11090,10014,9377,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.1399614784921581,-0.2573272385049744,0.4441012970969734,23888,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
12508,12063,12216,43.66,43.66,LC09_230062_20230222,9.0,9.0,0.2723012029370411,-0.2245283018867924,-0.087880291005291,23826,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10052,9043,7910,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.0490502524645347,-0.2101022902145378,0.3173688100517369,23888,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
11810,10963,10643,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.139368455100473,-0.1863956576971936,0.3550089032513355,21762,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10906,9883,9144,43.66,43.66,LC09_230062_20230222,9.0,9.0,-0.1608314596430046,-0.2590574934832909,0.460339029113021,21824,2023-02-22T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
